id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
484,SS_395,SS_393,230,71.9,0.03931,558
485,SS_376,SS_397,230,32.3,0.01765,558
486,SS_467,SS_384,230,8.6,0.00471,558
487,VS_1045,SS_382,230,76.4,0.04174,558
488,SS_125,SS_286,230,49.7,0.02718,558
489,SS_273,SS_272,450,7,0.001,1091
490,VS_1046,SS_117,315,110.8,0.02233,928
491,SS_475,SS_330,735,378.2,0.007,1910
492,SS_367,SS_329,735,396.6,0.00734,1910
493,SS_471,SS_474,735,173.8,0.00322,1910
494,VS_880,SS_471,735,3,6.00E-05,1910
495,SS_305,SS_181,735,369,0.00683,1910
496,VS_1047,SS_3,450,112.2,0.01602,1091
497,SS_477,SS_475,315,95.1,0.01917,928
498,SS_474,SS_367,735,358.2,0.00663,1910
499,SS_479,SS_477,315,168.1,0.03388,928
500,SS_483,SS_117,735,723.5,0.01339,5729
501,SS_491,SS_461,230,117.6,0.06427,558
502,SS_336,SS_335,230,50.2,0.02742,558
503,SS_15,SS_674,230,382.4,0.2089,558
504,SS_13,VS_883,230,88.6,0.0484,558
505,VS_1044,VS_1049,230,158.5,0.0866,558
506,SS_495,SS_506,240,15.1,0.00657,624
507,SS_500,SS_415,230,255.3,0.13949,558
508,SS_417,VS_1044,230,317.7,0.17358,558
509,SS_417,SS_440,230,234.6,0.12815,558
510,VS_1052,SS_504,240,30.8,0.01335,624
511,SS_508,VS_1052,240,13.2,0.00573,624
512,SS_504,SS_507,500,3.5,0.00018,1039
513,SS_508,SS_552,240,236.2,0.10253,624
514,SS_433,VS_1053,240,8.8,0.0038,624
515,SS_431,SS_606,240,14.7,0.0064,624
516,SS_606,VS_1054,240,2.2,0.00095,624
517,SS_509,SS_800,240,71.3,0.03096,624
518,SS_13,SS_290,500,309.2,0.01558,1039
519,SS_424,SS_267,230,73.7,0.04025,558
520,SS_516,SS_515,240,65.8,0.02855,624
521,SS_381,SS_519,230,4,0.00218,558
522,SS_521,VS_1055,230,3.4,0.00184,558
523,VS_916,SS_524,230,2.6,0.0014,558
524,VS_1014,VS_1056,240,6.2,0.00269,624
525,VS_1056,VS_1014,240,6.2,0.00269,624
526,SS_529,VS_1056,240,5.7,0.00246,624
527,SS_403,VS_1057,240,85.8,0.03725,624
528,VS_1057,VS_1008,240,2.4,0.00105,624
529,VS_1015,VS_1006,240,13.2,0.00573,624
530,VS_1006,SS_248,240,2.9,0.00126,624
531,VS_1057,VS_1008,240,2.5,0.00106,624
532,SS_611,VS_1059,240,45.4,0.01972,624
533,SS_515,SS_535,240,4.2,0.00184,624
534,SS_537,SS_538,240,5.2,0.00226,624
535,VS_1060,VS_1061,240,7.4,0.00321,624
536,VS_1062,SS_347,240,99.6,0.04321,624
537,SS_347,SS_539,240,8.9,0.00386,624
538,VS_1064,SS_536,240,6.8,0.00294,624
539,VS_1065,SS_515,240,25.5,0.01109,624
540,VS_1059,SS_515,240,27.2,0.01181,624
541,SS_442,VS_1061,240,15.8,0.00687,624
542,SS_442,VS_1061,240,15.9,0.00688,624
543,SS_514,SS_513,240,16.3,0.00709,624
544,SS_516,SS_537,240,15.6,0.00678,624
545,SS_531,SS_534,240,20.6,0.00893,624
546,SS_539,VS_1066,240,1.8,0.00079,624
547,SS_346,VS_1060,240,40.2,0.01746,624
548,SS_346,VS_1060,240,40.3,0.01748,624
549,SS_346,VS_997,240,1.9,0.00084,624
550,VS_997,SS_346,240,2,0.00086,624
551,SS_539,SS_531,240,3.8,0.00164,624
552,VS_1059,VS_1067,240,39,0.01694,624
553,SS_498,VS_1068,240,82.6,0.03586,624
554,SS_498,SS_497,240,135.1,0.05864,624
555,SS_497,SS_542,240,37.9,0.01644,624
556,SS_540,SS_618,240,35.1,0.01523,624
557,VS_1068,SS_543,240,104.2,0.04524,624
558,VS_1068,SS_541,240,18.7,0.00811,624
559,VS_1069,SS_544,240,78.4,0.03402,624
560,SS_349,SS_608,240,162.3,0.07046,624
561,SS_545,SS_14,240,69,0.02997,624
562,SS_14,SS_611,240,126.7,0.05498,624
563,SS_546,SS_547,240,291.5,0.12652,624
564,SS_545,SS_546,240,406,0.17621,1247
565,SS_547,SS_549,240,215,0.09333,624
566,SS_549,VS_1070,240,99.7,0.04327,624
567,SS_549,VS_1071,240,176.3,0.07651,624
568,VS_1071,SS_509,240,217.2,0.09427,624
569,VS_1070,SS_550,240,38.7,0.01678,624
570,SS_551,VS_1072,240,93.9,0.04078,624
571,SS_551,VS_1070,240,9.9,0.00428,624
572,VS_1070,SS_551,240,10.8,0.00467,624
573,SS_552,SS_553,240,118.5,0.05145,624
574,SS_557,SS_566,240,121.5,0.05274,624
575,SS_557,SS_555,240,85.6,0.03717,624
576,SS_555,VS_1005,240,133.2,0.0578,624
577,SS_556,SS_555,240,0.8,0.00036,624
578,VS_1075,VS_1004,240,95,0.04122,624
579,SS_527,SS_401,240,105.7,0.04588,624
580,SS_562,SS_492,230,15.3,0.00838,558
581,VS_985,VS_1080,287,26,0.00911,696
582,VS_1080,SS_6,287,25.3,0.00888,696
583,VS_1081,VS_1082,230,43.8,0.02395,558
584,VS_1083,SS_407,230,231.9,0.1267,558
585,SS_376,SS_398,230,100.3,0.05478,558
586,SS_570,SS_231,230,46.1,0.0252,558
587,VS_970,SS_35,230,3.8,0.00205,558
588,SS_12,SS_219,230,110,0.06008,558
589,SS_585,SS_219,360,226.8,0.05056,873
590,VS_940,SS_219,230,153.5,0.08387,558
591,SS_219,SS_290,230,120.9,0.06604,558
592,VS_1086,SS_316,230,9.5,0.00518,558
593,SS_578,SS_577,230,14.2,0.00773,558
594,SS_416,SS_598,230,72.4,0.03954,558
595,SS_37,SS_631,500,155.8,0.00785,1039
596,VS_984,VS_1089,287,9.2,0.00321,696
597,SS_589,SS_856,230,127.2,0.06948,558
598,SS_589,SS_856,230,127.3,0.06953,558
599,SS_590,SS_656,345,214.1,0.05198,837
600,VS_935,SS_590,230,50.8,0.02775,558
601,SS_640,SS_656,345,72.4,0.01758,837
602,SS_279,SS_13,500,124.1,0.00626,1039
603,SS_594,VS_1090,500,17.7,0.00089,1039
604,SS_595,SS_594,500,36.8,0.00186,1039
605,SS_174,SS_597,230,4.4,0.00239,558
606,SS_601,SS_242,230,15.3,0.00834,558
607,VS_915,SS_602,230,4.4,0.0024,558
608,SS_584,SS_143,500,223.8,0.01128,1039
609,SS_409,VS_1091,240,5.5,0.00237,624
610,SS_566,VS_1054,240,143.7,0.06238,624
611,SS_606,VS_1092,240,48.6,0.0211,624
612,SS_433,SS_438,240,63.8,0.02769,624
613,SS_603,VS_1092,240,4.8,0.00208,624
614,VS_1071,SS_608,240,2.5,0.00108,624
615,VS_1062,SS_613,240,3.6,0.00157,624
616,SS_609,SS_611,240,2.3,0.00101,624
617,SS_544,VS_1062,240,73.3,0.03184,624
618,SS_611,SS_610,240,5.8,0.00253,624
619,SS_610,SS_611,240,5.9,0.00254,624
620,SS_613,SS_614,240,147.7,0.0641,624
621,SS_614,SS_615,240,19.3,0.00837,624
622,SS_621,VS_1069,240,4.2,0.00182,624
623,SS_542,SS_620,240,4.9,0.00211,624
624,SS_624,SS_618,240,3.3,0.00142,624
625,SS_497,VS_1069,240,60.9,0.02644,624
626,SS_555,VS_1075,240,72,0.03124,624
627,SS_618,SS_542,240,6.9,0.00299,624
628,VS_1075,SS_622,240,36.7,0.01594,624
629,SS_619,SS_623,240,40.3,0.0175,624
630,VS_1093,SS_653,230,131.3,0.07175,558
631,SS_386,SS_338,315,54.8,0.01105,928
632,VS_1095,VS_1096,315,38.1,0.00768,928
633,SS_628,VS_906,315,45,0.00906,928
634,SS_466,SS_158,315,124.6,0.02511,928
635,SS_129,SS_724,230,159.7,0.08724,558
636,VS_1097,SS_378,230,1.7,0.00094,558
637,SS_631,SS_196,500,227.1,0.01145,1039
638,SS_137,SS_245,230,78.1,0.04265,558
639,SS_278,SS_258,230,230.4,0.12587,558
640,SS_17,SS_634,315,154.5,0.03114,928
641,SS_303,VS_1096,315,134.5,0.0271,928
642,SS_818,SS_638,315,1.4,0.00027,928
643,SS_322,SS_639,230,231.4,0.12639,558
644,SS_432,SS_433,240,1.2,0.00051,624
645,SS_466,VS_1098,345,9.7,0.00236,837
646,VS_1098,SS_640,345,36.6,0.00888,837
647,VS_1098,SS_640,345,36.5,0.00887,837
648,VS_883,SS_71,230,10.1,0.00554,558
649,VS_1025,SS_458,230,188.1,0.10278,558
650,VS_962,SS_209,230,0.6,0.00033,558
651,SS_649,SS_30,230,7,0.00383,558
652,VS_1102,SS_326,230,42.6,0.02326,558
653,SS_652,VS_1103,230,1.4,0.00077,558
654,SS_653,SS_301,230,167.5,0.09149,558
655,SS_152,SS_654,230,89.9,0.04909,558
656,SS_655,VS_1104,230,7.8,0.00427,558
657,SS_654,VS_1002,230,244.9,0.13378,558
658,SS_646,SS_413,230,125,0.06828,558
659,SS_656,SS_120,345,212.8,0.05167,837
660,SS_83,VS_868,230,30.1,0.01645,558
661,VS_860,VS_866,230,2.2,0.00122,558
662,VS_860,VS_868,230,19.1,0.01044,558
663,SS_854,SS_210,500,6.7,0.00034,1039
664,VS_872,SS_52,500,1,5.00E-05,1039
665,VS_1110,SS_264,500,220.6,0.01112,1039
666,SS_421,SS_423,230,211.4,0.11547,558
667,SS_660,SS_798,230,112.6,0.06149,558
668,SS_666,SS_111,230,140.9,0.077,558
669,SS_476,SS_15,230,298.2,0.16292,558
670,SS_669,SS_668,287,70.5,0.02473,696
671,SS_345,VS_1124,230,3.6,0.00199,558
672,SS_671,VS_1125,500,48.7,0.00245,1039
673,VS_1125,VS_1110,500,5.3,0.00026,1039
674,VS_1125,VS_1110,500,5.3,0.00027,1039
675,VS_1125,VS_1110,500,5.3,0.00026,1039
676,VS_893,SS_122,230,95.1,0.05198,558
677,SS_171,SS_482,230,2.6,0.00141,558
678,SS_482,SS_171,230,2.6,0.00141,558
679,SS_95,SS_487,735,26.2,0.00049,1910
680,VS_946,SS_227,230,4.4,0.00241,558
681,SS_227,SS_570,230,36.7,0.02004,558
682,SS_227,VS_946,230,4.4,0.00242,558
683,SS_227,VS_946,230,4.6,0.00253,558
684,SS_228,SS_642,230,62.6,0.03421,558
685,SS_192,SS_679,735,14.3,0.00026,1910
686,VS_1136,VS_958,230,10.3,0.00564,558
687,VS_955,SS_683,230,35.1,0.0192,558
688,SS_580,SS_687,230,16,0.00875,558
689,SS_648,SS_570,230,96.2,0.05256,558
690,SS_231,SS_648,230,49.2,0.02689,558
691,SS_231,SS_648,230,50,0.0273,558
692,SS_516,VS_1064,240,26.2,0.01137,624
693,VS_891,SS_645,230,389.1,0.21256,558
694,VS_1142,SS_632,230,10.4,0.0057,558
695,SS_14,SS_700,500,172.9,0.00871,1039
696,VS_1067,SS_700,240,63,0.02732,624
697,SS_57,VS_869,315,27.1,0.00546,928
698,VS_1144,VS_1097,230,6.1,0.00332,558
699,SS_140,SS_630,230,11,0.00601,558
700,SS_140,SS_630,230,11,0.006,558
701,VS_1145,SS_97,230,0.6,0.00035,558
702,VS_1146,SS_20,230,1.1,0.00063,558
703,SS_392,SS_645,230,1,0.00053,558
704,SS_171,SS_658,230,5.4,0.00298,558
705,SS_705,SS_706,230,10.7,0.00585,558
706,SS_381,VS_1147,230,67.9,0.0371,558
707,VS_1147,SS_670,230,2.5,0.00138,558
708,SS_146,SS_669,287,604.7,0.21216,2088
709,VS_1093,SS_714,230,139.2,0.07603,558
710,SS_464,SS_715,230,3.6,0.00195,558
711,VS_1049,VS_1148,230,3.1,0.00171,558
712,SS_829,VS_1148,230,50.8,0.02777,558
713,SS_184,SS_717,230,7.1,0.00389,558
714,SS_633,SS_718,230,177,0.09668,558
715,SS_287,VS_980,230,3.4,0.00184,558
716,VS_980,SS_720,230,39.6,0.02162,558
717,SS_219,SS_499,360,2.1,0.00046,873
718,SS_499,SS_219,360,1.9,0.00042,873
719,SS_12,VS_1149,230,110.2,0.0602,558
720,SS_209,SS_324,230,1.3,0.0007,558
721,SS_129,SS_725,230,674.8,0.36867,1673
722,SS_726,SS_729,230,53.5,0.02925,558
723,SS_727,SS_164,230,41,0.02241,558
724,SS_10,SS_728,230,37.1,0.02028,558
725,SS_729,VS_1150,230,24.5,0.01341,558
726,SS_700,VS_1065,240,46.9,0.02035,624
727,SS_700,VS_1065,240,49.5,0.02147,624
728,SS_498,SS_619,240,98.1,0.0426,624
729,SS_665,SS_709,230,284.9,0.15567,558
730,SS_733,SS_227,230,67.9,0.03709,558
731,SS_227,SS_733,230,67,0.03661,558
732,SS_227,SS_733,230,67.2,0.0367,558
733,SS_570,SS_227,230,36.5,0.01994,558
734,VS_1151,SS_690,230,1.7,0.00094,558
735,SS_690,VS_1151,230,1.5,0.00083,558
736,SS_690,SS_664,240,79.9,0.0347,624
737,SS_669,SS_760,287,177.1,0.06212,696
738,SS_627,SS_680,315,1.6,0.00032,928
739,SS_22,SS_24,230,29.2,0.01595,558
740,SS_385,SS_846,230,24.5,0.0134,558
741,SS_756,SS_847,350,1065.4,0.25134,4244
742,SS_369,SS_846,230,16.1,0.00877,558
743,SS_846,SS_385,230,24.6,0.01341,558
744,SS_224,SS_846,230,97.7,0.05335,558
745,SS_737,SS_41,735,622.7,0.01153,5729
746,SS_737,SS_134,735,85.4,0.00158,1910
747,SS_738,SS_53,315,0.5,0.00011,928
748,SS_374,VS_1155,230,0.9,0.0005,558
749,VS_1158,SS_368,315,0.8,0.00016,928
750,SS_743,SS_638,315,44.1,0.00888,928
751,SS_258,SS_256,230,146.7,0.08015,558
752,VS_961,SS_256,230,58.4,0.03191,558
753,SS_745,SS_739,240,4,0.00174,624
754,SS_745,SS_739,240,4.1,0.0018,624
755,SS_745,SS_746,240,4.9,0.00212,624
756,SS_746,SS_745,240,4.6,0.00201,624
757,SS_536,SS_746,240,13.2,0.00574,624
758,SS_408,SS_747,240,10.5,0.00454,624
759,SS_607,VS_1009,240,91.4,0.03966,624
760,VS_1160,VS_1161,230,22.3,0.0122,558
761,SS_712,SS_459,230,156.4,0.08544,558
762,VS_941,SS_199,230,3.5,0.00189,558
763,VS_908,VS_920,230,12.5,0.00682,558
764,SS_277,SS_275,315,11,0.00222,928
765,SS_782,SS_189,230,7.4,0.00407,558
766,SS_573,SS_28,230,10.6,0.00579,558
767,SS_117,SS_134,735,259.6,0.00481,1910
768,SS_318,VS_994,138,48.4,0.08256,239
769,SS_754,SS_708,315,409.7,0.08259,1855
770,SS_708,SS_483,735,1.8,3.00E-05,1910
771,SS_483,SS_708,735,1.8,3.00E-05,1910
772,SS_755,SS_756,350,39.2,0.00926,849
773,SS_845,SS_755,350,646.4,0.15251,2546
774,SS_421,VS_1168,230,239,0.13059,558
775,SS_418,SS_361,230,52.7,0.02879,558
776,SS_807,SS_797,200,67.3,0.04862,485
777,SS_759,VS_1169,230,11.3,0.00619,558
778,VS_1048,SS_489,230,2.3,0.00128,558
779,SS_761,SS_760,287,28.4,0.00997,696
780,SS_727,SS_762,230,12.8,0.00701,558
781,SS_763,SS_262,500,133.1,0.00671,1039
782,VS_1089,VS_984,287,9.1,0.00321,696
783,SS_795,VS_1089,287,6.4,0.00225,696
784,SS_795,VS_1038,287,2.2,0.00076,696
785,VS_1038,SS_795,287,2.2,0.00077,696
786,VS_985,VS_1080,287,26,0.00911,696
787,SS_704,SS_793,240,27.8,0.01207,624
788,SS_770,VS_1172,230,15.4,0.00843,558
789,VS_1173,VS_1174,230,11.4,0.00622,558
790,VS_1173,SS_169,230,15,0.00821,558
791,VS_1173,SS_772,230,9,0.00493,558
792,SS_643,SS_773,138,83.8,0.14298,239
793,SS_643,SS_774,138,72,0.12286,239
794,SS_318,SS_317,138,14.2,0.02423,239
795,SS_318,SS_776,138,22.3,0.03811,239
796,SS_318,VS_994,138,48.4,0.08257,239
797,VS_989,SS_318,138,10.4,0.01776,239
798,SS_133,SS_155,735,400.8,0.00742,3819
799,VS_1048,SS_461,230,165.2,0.09027,558
800,VS_1048,SS_491,230,59.7,0.03259,558
801,SS_638,SS_117,315,410.2,0.08267,1855
802,SS_284,SS_149,315,32.1,0.00646,928
803,SS_781,SS_192,315,19.4,0.00392,928
804,SS_781,SS_57,315,20.7,0.00417,928
805,SS_783,SS_248,240,36.7,0.01593,624
806,SS_763,SS_730,230,103.7,0.05666,558
807,SS_763,SS_730,230,104,0.05681,558
808,VS_1150,SS_730,230,1.1,0.00058,558
809,VS_1150,SS_730,230,1.1,0.00058,558
810,SS_730,SS_765,230,78.1,0.04269,558
811,SS_568,SS_788,240,19.2,0.00833,624
812,SS_655,VS_1178,230,3.5,0.0019,558
813,VS_1179,SS_655,230,1,0.00057,558
814,VS_1179,VS_1178,230,5,0.00272,558
815,SS_789,SS_440,230,8.9,0.00487,558
816,SS_440,VS_1180,230,3.5,0.00193,558
817,VS_1181,SS_416,230,5.3,0.00288,558
818,SS_790,SS_819,230,59.6,0.03255,558
819,SS_415,VS_1182,230,52.1,0.02849,558
820,SS_394,VS_913,240,6.9,0.00301,624
821,VS_1183,VS_982,315,11.4,0.00229,928
822,SS_43,SS_255,230,25.1,0.0137,558
823,SS_138,SS_255,115,10.6,0.02406,159
824,VS_1184,SS_506,240,6.4,0.00278,624
825,VS_1052,VS_1184,240,17.3,0.0075,624
826,SS_793,SS_462,240,8.2,0.00354,624
827,VS_928,SS_351,230,2.3,0.00123,558
828,SS_176,VS_1189,230,4.1,0.00226,558
829,SS_176,VS_1189,230,4.4,0.00241,558
830,SS_808,SS_797,200,1,0.00071,485
831,SS_402,SS_810,240,77.8,0.03378,624
832,SS_502,SS_810,240,58.8,0.02553,624
833,VS_1016,VS_1072,240,42.5,0.01847,624
834,VS_1016,SS_529,240,44.7,0.01938,624
835,SS_394,SS_814,240,7.7,0.00334,624
836,SS_814,SS_394,240,7.7,0.00335,624
837,SS_702,VS_1204,345,9.4,0.00228,837
838,VS_1205,SS_215,230,127.8,0.06984,558
839,SS_675,VS_1211,138,26,0.04437,239
840,VS_1211,SS_676,138,15,0.02562,239
841,SS_340,SS_826,138,6.4,0.01097,239
842,SS_826,VS_995,138,1.9,0.00326,239
843,VS_996,SS_805,138,31.4,0.05356,239
844,SS_341,VS_995,138,9.7,0.01652,239
845,VS_937,SS_235,345,7.5,0.00182,837
846,SS_835,SS_448,240,24.1,0.01047,624
847,VS_861,VS_910,230,3.3,0.00182,558
848,SS_86,VS_861,230,1.9,0.00103,558
849,SS_28,VS_862,500,55.2,0.00278,1039
850,SS_501,SS_355,230,2.2,0.00118,558
851,SS_580,SS_360,230,31.6,0.01726,558
852,SS_839,SS_671,230,14.9,0.00816,558
853,SS_800,SS_339,240,45.8,0.01986,624
854,SS_324,VS_1216,230,6.6,0.00363,558
855,SS_500,SS_850,230,71.1,0.03887,558
856,SS_845,SS_754,350,0.9,0.00021,849
857,SS_754,SS_845,350,0.9,0.0002,849
858,SS_418,SS_807,345,0.5,0.00012,837
859,SS_847,SS_846,350,0.7,0.00017,849
860,SS_846,SS_847,350,0.8,0.00018,849
861,SS_348,VS_1223,320,164.1,0.04631,776
862,SS_477,SS_848,315,0.9,0.00018,928
863,SS_849,SS_197,230,2.6,0.00141,558
864,SS_16,VS_1226,500,408.7,0.0206,2078
865,SS_75,VS_969,230,0.8,0.00045,558
866,SS_61,SS_34,230,7.3,0.00399,558
867,SS_61,SS_34,230,7.4,0.00402,558
868,SS_263,SS_143,230,109.5,0.05984,558
869,SS_652,VS_1148,230,1.6,0.00086,558
870,VS_1103,SS_463,230,84.8,0.04635,558
871,VS_1049,VS_1103,230,5.9,0.00322,558
872,VS_937,SS_235,345,7.5,0.00181,837
873,VS_1211,SS_343,138,35.1,0.05995,239
874,SS_342,VS_1227,138,7,0.01186,239
875,SS_806,VS_1228,230,1.1,0.00058,558
876,SS_806,SS_483,230,66.1,0.03613,558
877,SS_806,SS_483,230,65,0.03552,558
878,SS_684,SS_813,200,213.1,0.15393,485
879,SS_812,SS_813,230,0.6,0.00031,558
880,SS_138,VS_1124,115,120.6,0.27352,159
881,SS_138,VS_1124,115,120.6,0.27353,159
882,SS_681,VS_1124,115,143.4,0.32523,159
883,SS_681,SS_377,230,8.2,0.00445,558
884,VS_1229,VS_1230,230,4.8,0.00265,558
885,VS_1229,VS_1136,230,4.7,0.00259,558
886,SS_188,SS_70,230,12.1,0.00661,558
887,SS_591,SS_592,240,84.8,0.03682,624
888,SS_439,SS_363,230,114.3,0.06245,558
889,VS_1231,SS_411,230,5.8,0.00314,558
890,SS_424,SS_152,230,168.7,0.09215,558
891,SS_152,VS_922,230,97.5,0.05327,558
892,SS_377,SS_226,230,12.1,0.00661,558
893,SS_335,SS_111,230,157.6,0.08611,558
894,SS_469,SS_452,230,438.2,0.23941,1115
895,SS_452,SS_123,230,287.2,0.15689,558
896,SS_492,SS_116,230,281.8,0.15395,558
897,SS_393,VS_1097,230,298.1,0.16284,558
898,SS_393,SS_379,230,298.4,0.163,558
899,SS_115,SS_721,230,219,0.11963,558
900,SS_374,SS_572,230,131.5,0.07187,558
901,SS_467,SS_572,230,71.2,0.03891,558
902,SS_467,SS_572,230,71.1,0.03883,558
903,SS_238,SS_73,230,7.9,0.00433,558
904,SS_443,VS_1232,230,126.2,0.06895,558
905,SS_197,SS_48,500,244.7,0.01233,1039
906,SS_109,SS_446,500,60.1,0.00303,1039
907,SS_109,SS_446,500,60.1,0.00303,1039
908,SS_48,SS_291,500,23.9,0.0012,1039
909,SS_48,SS_291,500,23.9,0.0012,1039
910,SS_379,SS_126,500,396.9,0.02,1039
911,SS_379,SS_126,500,397.1,0.02001,1039
912,SS_630,SS_20,500,245.5,0.01237,1039
913,SS_20,SS_630,500,245.6,0.01238,1039
914,SS_20,SS_52,500,247.4,0.01247,1039
915,SS_52,SS_20,500,247.3,0.01246,1039
916,SS_52,SS_587,500,26.1,0.00131,1039
917,SS_9,VS_1233,230,54.4,0.02972,558
918,SS_706,SS_9,230,37.8,0.02064,558
919,VS_1045,SS_467,230,124.3,0.0679,558
920,SS_374,VS_900,230,128,0.06994,558
921,SS_98,VS_1155,230,215.2,0.11755,558
922,VS_1155,SS_98,230,215.2,0.11755,558
923,SS_126,VS_1026,230,58.3,0.03186,558
924,SS_202,SS_102,230,105.3,0.0575,558
925,SS_453,SS_821,230,57.1,0.03121,558
926,VS_998,SS_360,230,75.7,0.04138,558
927,VS_998,VS_1086,230,89,0.04863,558
928,SS_214,VS_1086,230,57.6,0.03147,558
929,VS_1234,VS_952,230,122.4,0.06684,558
930,SS_206,SS_387,230,88.7,0.04847,558
931,VS_1235,SS_387,230,66.3,0.03624,558
932,SS_355,VS_1235,230,24.1,0.01318,558
933,VS_1236,VS_1237,230,67.5,0.03688,558
934,VS_1237,SS_314,230,95.1,0.05197,558
935,SS_387,VS_1238,230,4,0.00216,558
936,SS_387,SS_334,230,126.6,0.06916,558
937,SS_333,VS_1236,230,32.2,0.01757,558
938,VS_1237,SS_387,230,7,0.00385,558
939,SS_362,SS_699,230,41.9,0.02288,558
940,SS_699,VS_1239,230,35.3,0.01927,558
941,VS_1239,VS_1240,230,9,0.00494,558
942,VS_1240,SS_319,230,6.6,0.00361,558
943,VS_1239,SS_823,230,13.9,0.00762,558
944,SS_821,SS_580,230,32.4,0.0177,558
945,VS_1241,SS_96,230,14.6,0.00798,558
946,SS_20,VS_1241,230,31.3,0.01708,558
947,VS_1241,SS_20,230,31.5,0.01723,558
948,SS_97,VS_1241,230,14,0.00764,558
949,SS_122,SS_97,230,36.7,0.02005,558
950,VS_1242,SS_467,230,138.3,0.07556,558
951,SS_378,VS_1242,230,41.5,0.02267,558
952,SS_378,VS_1242,230,40.5,0.02213,558
953,SS_378,SS_379,230,14.5,0.0079,558
954,SS_389,SS_379,230,224.9,0.12287,558
955,SS_11,SS_467,230,57.4,0.03134,558
956,SS_379,SS_378,230,17,0.00927,558
957,SS_77,SS_79,230,8,0.00439,558
958,SS_50,SS_78,230,25.7,0.01403,558
959,SS_50,SS_25,230,11.3,0.00615,558
960,SS_851,SS_25,230,0.8,0.00044,558
961,SS_239,SS_88,230,6.9,0.00379,558
962,VS_1243,SS_447,230,21.5,0.01176,558
