gen_id,year,capacity_added_mw,cumulative_capacity_mw,investment_cost
781,1,0.0,0.0,0.0
781,2,0.0,0.0,0.0
781,3,0.0,0.0,0.0
781,4,0.0,0.0,0.0
781,5,0.0,0.0,0.0
781,6,0.0,0.0,0.0
41,1,0.0,0.0,0.0
41,2,0.0,0.0,0.0
41,3,0.0,0.0,0.0
41,4,0.0,0.0,0.0
41,5,0.0,0.0,0.0
41,6,0.0,0.0,0.0
192,1,0.0,0.0,0.0
192,2,0.0,0.0,0.0
192,3,0.0,0.0,0.0
192,4,0.0,0.0,0.0
192,5,0.0,0.0,0.0
192,6,0.0,0.0,0.0
45,1,0.0,0.0,0.0
45,2,0.0,0.0,0.0
45,3,0.0,0.0,0.0
45,4,0.0,0.0,0.0
45,5,0.0,0.0,0.0
45,6,0.0,0.0,0.0
679,1,0.0,0.0,0.0
679,2,0.0,0.0,0.0
679,3,0.0,0.0,0.0
679,4,0.0,0.0,0.0
679,5,0.0,0.0,0.0
679,6,0.0,0.0,0.0
155,1,0.0,0.0,0.0
155,2,0.0,0.0,0.0
155,3,0.0,0.0,0.0
155,4,0.0,0.0,0.0
155,5,0.0,0.0,0.0
155,6,0.0,0.0,0.0
154,1,0.0,0.0,0.0
154,2,0.0,0.0,0.0
154,3,0.0,0.0,0.0
154,4,0.0,0.0,0.0
154,5,0.0,0.0,0.0
154,6,0.0,0.0,0.0
481,1,0.0,0.0,0.0
481,2,0.0,0.0,0.0
481,3,0.0,0.0,0.0
481,4,0.0,0.0,0.0
481,5,0.0,0.0,0.0
481,6,0.0,0.0,0.0
57,1,0.0,0.0,0.0
57,2,0.0,0.0,0.0
57,3,0.0,0.0,0.0
57,4,0.0,0.0,0.0
57,5,0.0,0.0,0.0
57,6,0.0,0.0,0.0
221,1,0.0,0.0,0.0
221,2,0.0,0.0,0.0
221,3,0.0,0.0,0.0
221,4,0.0,0.0,0.0
221,5,0.0,0.0,0.0
221,6,0.0,0.0,0.0
149,1,0.0,0.0,0.0
149,2,0.0,0.0,0.0
149,3,0.0,0.0,0.0
149,4,0.0,0.0,0.0
149,5,0.0,0.0,0.0
149,6,0.0,0.0,0.0
181,1,0.0,0.0,0.0
181,2,0.0,0.0,0.0
181,3,0.0,0.0,0.0
181,4,0.0,0.0,0.0
181,5,0.0,0.0,0.0
181,6,0.0,0.0,0.0
7,1,0.0,0.0,0.0
7,2,0.0,0.0,0.0
7,3,0.0,0.0,0.0
7,4,0.0,0.0,0.0
7,5,0.0,0.0,0.0
7,6,0.0,0.0,0.0
311,1,0.0,0.0,0.0
311,2,0.0,0.0,0.0
311,3,0.0,0.0,0.0
311,4,0.0,0.0,0.0
311,5,0.0,0.0,0.0
311,6,0.0,0.0,0.0
593,1,0.0,0.0,0.0
593,2,0.0,0.0,0.0
593,3,0.0,0.0,0.0
593,4,0.0,0.0,0.0
593,5,0.0,0.0,0.0
593,6,0.0,0.0,0.0
95,1,0.0,0.0,0.0
95,2,0.0,0.0,0.0
95,3,0.0,0.0,0.0
95,4,0.0,0.0,0.0
95,5,0.0,0.0,0.0
95,6,0.0,0.0,0.0
312,1,0.0,0.0,0.0
312,2,0.0,0.0,0.0
312,3,0.0,0.0,0.0
312,4,0.0,0.0,0.0
312,5,0.0,0.0,0.0
312,6,0.0,0.0,0.0
329,1,0.0,0.0,0.0
329,2,0.0,0.0,0.0
329,3,0.0,0.0,0.0
329,4,0.0,0.0,0.0
329,5,0.0,0.0,0.0
329,6,0.0,0.0,0.0
330,1,0.0,0.0,0.0
330,2,0.0,0.0,0.0
330,3,0.0,0.0,0.0
330,4,0.0,0.0,0.0
330,5,0.0,0.0,0.0
330,6,0.0,0.0,0.0
367,1,0.0,0.0,0.0
367,2,0.0,0.0,0.0
367,3,0.0,0.0,0.0
367,4,0.0,0.0,0.0
367,5,0.0,0.0,0.0
367,6,0.0,0.0,0.0
471,1,0.0,0.0,0.0
471,2,0.0,0.0,0.0
471,3,0.0,0.0,0.0
471,4,0.0,0.0,0.0
471,5,0.0,0.0,0.0
471,6,0.0,0.0,0.0
474,1,0.0,0.0,0.0
474,2,0.0,0.0,0.0
474,3,0.0,0.0,0.0
474,4,0.0,0.0,0.0
474,5,0.0,0.0,0.0
474,6,0.0,0.0,0.0
475,1,0.0,0.0,0.0
475,2,0.0,0.0,0.0
475,3,0.0,0.0,0.0
475,4,0.0,0.0,0.0
475,5,0.0,0.0,0.0
475,6,0.0,0.0,0.0
487,1,0.0,0.0,0.0
487,2,0.0,0.0,0.0
487,3,0.0,0.0,0.0
487,4,0.0,0.0,0.0
487,5,0.0,0.0,0.0
487,6,0.0,0.0,0.0
348,1,0.0,0.0,0.0
348,2,0.0,0.0,0.0
348,3,0.0,0.0,0.0
348,4,0.0,0.0,0.0
348,5,0.0,0.0,0.0
348,6,0.0,0.0,0.0
117,1,0.0,0.0,0.0
117,2,0.0,0.0,0.0
117,3,0.0,0.0,0.0
117,4,0.0,0.0,0.0
117,5,0.0,0.0,0.0
117,6,0.0,0.0,0.0
325,1,0.0,0.0,0.0
325,2,0.0,0.0,0.0
325,3,0.0,0.0,0.0
325,4,0.0,0.0,0.0
325,5,0.0,0.0,0.0
325,6,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
305,1,0.0,0.0,0.0
305,2,0.0,0.0,0.0
305,3,0.0,0.0,0.0
305,4,0.0,0.0,0.0
305,5,0.0,0.0,0.0
305,6,0.0,0.0,0.0
133,1,0.0,0.0,0.0
133,2,0.0,0.0,0.0
133,3,0.0,0.0,0.0
133,4,0.0,0.0,0.0
133,5,0.0,0.0,0.0
133,6,0.0,0.0,0.0
134,1,0.0,0.0,0.0
134,2,0.0,0.0,0.0
134,3,0.0,0.0,0.0
134,4,0.0,0.0,0.0
134,5,0.0,0.0,0.0
134,6,0.0,0.0,0.0
737,1,0.0,0.0,0.0
737,2,0.0,0.0,0.0
737,3,0.0,0.0,0.0
737,4,0.0,0.0,0.0
737,5,0.0,0.0,0.0
737,6,0.0,0.0,0.0
46,1,0.0,0.0,0.0
46,2,0.0,0.0,0.0
46,3,0.0,0.0,0.0
46,4,0.0,0.0,0.0
46,5,0.0,0.0,0.0
46,6,0.0,0.0,0.0
53,1,0.0,0.0,0.0
53,2,0.0,0.0,0.0
53,3,0.0,0.0,0.0
53,4,0.0,0.0,0.0
53,5,0.0,0.0,0.0
53,6,0.0,0.0,0.0
55,1,0.0,0.0,0.0
55,2,0.0,0.0,0.0
55,3,0.0,0.0,0.0
55,4,0.0,0.0,0.0
55,5,0.0,0.0,0.0
55,6,0.0,0.0,0.0
58,1,0.0,0.0,0.0
58,2,0.0,0.0,0.0
58,3,0.0,0.0,0.0
58,4,0.0,0.0,0.0
58,5,0.0,0.0,0.0
58,6,0.0,0.0,0.0
68,1,0.0,0.0,0.0
68,2,0.0,0.0,0.0
68,3,0.0,0.0,0.0
68,4,0.0,0.0,0.0
68,5,0.0,0.0,0.0
68,6,0.0,0.0,0.0
275,1,0.0,0.0,0.0
275,2,0.0,0.0,0.0
275,3,0.0,0.0,0.0
275,4,0.0,0.0,0.0
275,5,0.0,0.0,0.0
275,6,0.0,0.0,0.0
277,1,0.0,0.0,0.0
277,2,0.0,0.0,0.0
277,3,0.0,0.0,0.0
277,4,0.0,0.0,0.0
277,5,0.0,0.0,0.0
277,6,0.0,0.0,0.0
283,1,0.0,0.0,0.0
283,2,0.0,0.0,0.0
283,3,0.0,0.0,0.0
283,4,0.0,0.0,0.0
283,5,0.0,0.0,0.0
283,6,0.0,0.0,0.0
738,1,0.0,0.0,0.0
738,2,0.0,0.0,0.0
738,3,0.0,0.0,0.0
738,4,0.0,0.0,0.0
738,5,0.0,0.0,0.0
738,6,0.0,0.0,0.0
165,1,0.0,0.0,0.0
165,2,0.0,0.0,0.0
165,3,0.0,0.0,0.0
165,4,0.0,0.0,0.0
165,5,0.0,0.0,0.0
165,6,0.0,0.0,0.0
210,1,0.0,0.0,0.0
210,2,0.0,0.0,0.0
210,3,0.0,0.0,0.0
210,4,0.0,0.0,0.0
210,5,0.0,0.0,0.0
210,6,0.0,0.0,0.0
257,1,0.0,0.0,0.0
257,2,0.0,0.0,0.0
257,3,0.0,0.0,0.0
257,4,0.0,0.0,0.0
257,5,0.0,0.0,0.0
257,6,0.0,0.0,0.0
428,1,0.0,0.0,0.0
428,2,0.0,0.0,0.0
428,3,0.0,0.0,0.0
428,4,0.0,0.0,0.0
428,5,0.0,0.0,0.0
428,6,0.0,0.0,0.0
125,1,0.0,0.0,0.0
125,2,0.0,0.0,0.0
125,3,0.0,0.0,0.0
125,4,0.0,0.0,0.0
125,5,0.0,0.0,0.0
125,6,0.0,0.0,0.0
630,1,0.0,0.0,0.0
630,2,0.0,0.0,0.0
630,3,0.0,0.0,0.0
630,4,0.0,0.0,0.0
630,5,0.0,0.0,0.0
630,6,0.0,0.0,0.0
44,1,0.0,0.0,0.0
44,2,0.0,0.0,0.0
44,3,0.0,0.0,0.0
44,4,0.0,0.0,0.0
44,5,0.0,0.0,0.0
44,6,0.0,0.0,0.0
52,1,0.0,0.0,0.0
52,2,0.0,0.0,0.0
52,3,0.0,0.0,0.0
52,4,0.0,0.0,0.0
52,5,0.0,0.0,0.0
52,6,0.0,0.0,0.0
587,1,0.0,0.0,0.0
587,2,0.0,0.0,0.0
587,3,0.0,0.0,0.0
587,4,0.0,0.0,0.0
587,5,0.0,0.0,0.0
587,6,0.0,0.0,0.0
48,1,0.0,0.0,0.0
48,2,0.0,0.0,0.0
48,3,0.0,0.0,0.0
48,4,0.0,0.0,0.0
48,5,0.0,0.0,0.0
48,6,0.0,0.0,0.0
49,1,0.0,0.0,0.0
49,2,0.0,0.0,0.0
49,3,0.0,0.0,0.0
49,4,0.0,0.0,0.0
49,5,0.0,0.0,0.0
49,6,0.0,0.0,0.0
126,1,0.0,0.0,0.0
126,2,0.0,0.0,0.0
126,3,0.0,0.0,0.0
126,4,0.0,0.0,0.0
126,5,0.0,0.0,0.0
126,6,0.0,0.0,0.0
316,1,0.0,0.0,0.0
316,2,0.0,0.0,0.0
316,3,0.0,0.0,0.0
316,4,0.0,0.0,0.0
316,5,0.0,0.0,0.0
316,6,0.0,0.0,0.0
595,1,0.0,0.0,0.0
595,2,0.0,0.0,0.0
595,3,0.0,0.0,0.0
595,4,0.0,0.0,0.0
595,5,0.0,0.0,0.0
595,6,0.0,0.0,0.0
643,1,0.0,0.0,0.0
643,2,0.0,0.0,0.0
643,3,0.0,0.0,0.0
643,4,0.0,0.0,0.0
643,5,0.0,0.0,0.0
643,6,0.0,0.0,0.0
176,1,0.0,0.0,0.0
176,2,0.0,0.0,0.0
176,3,0.0,0.0,0.0
176,4,0.0,0.0,0.0
176,5,0.0,0.0,0.0
176,6,0.0,0.0,0.0
368,1,0.0,0.0,0.0
368,2,0.0,0.0,0.0
368,3,0.0,0.0,0.0
368,4,0.0,0.0,0.0
368,5,0.0,0.0,0.0
368,6,0.0,0.0,0.0
284,1,0.0,0.0,0.0
284,2,0.0,0.0,0.0
284,3,0.0,0.0,0.0
284,4,0.0,0.0,0.0
284,5,0.0,0.0,0.0
284,6,0.0,0.0,0.0
21,1,0.0,0.0,0.0
21,2,0.0,0.0,0.0
21,3,0.0,0.0,0.0
21,4,0.0,0.0,0.0
21,5,0.0,0.0,0.0
21,6,0.0,0.0,0.0
39,1,0.0,0.0,0.0
39,2,0.0,0.0,0.0
39,3,0.0,0.0,0.0
39,4,0.0,0.0,0.0
39,5,0.0,0.0,0.0
39,6,0.0,0.0,0.0
90,1,0.0,0.0,0.0
90,2,0.0,0.0,0.0
90,3,0.0,0.0,0.0
90,4,0.0,0.0,0.0
90,5,0.0,0.0,0.0
90,6,0.0,0.0,0.0
91,1,0.0,0.0,0.0
91,2,0.0,0.0,0.0
91,3,0.0,0.0,0.0
91,4,0.0,0.0,0.0
91,5,0.0,0.0,0.0
91,6,0.0,0.0,0.0
120,1,0.0,0.0,0.0
120,2,0.0,0.0,0.0
120,3,0.0,0.0,0.0
120,4,0.0,0.0,0.0
120,5,0.0,0.0,0.0
120,6,0.0,0.0,0.0
28,1,0.0,0.0,0.0
28,2,0.0,0.0,0.0
28,3,0.0,0.0,0.0
28,4,0.0,0.0,0.0
28,5,0.0,0.0,0.0
28,6,0.0,0.0,0.0
37,1,0.0,0.0,0.0
37,2,0.0,0.0,0.0
37,3,0.0,0.0,0.0
37,4,0.0,0.0,0.0
37,5,0.0,0.0,0.0
37,6,0.0,0.0,0.0
418,1,0.0,0.0,0.0
418,2,0.0,0.0,0.0
418,3,0.0,0.0,0.0
418,4,0.0,0.0,0.0
418,5,0.0,0.0,0.0
418,6,0.0,0.0,0.0
273,1,0.0,0.0,0.0
273,2,0.0,0.0,0.0
273,3,0.0,0.0,0.0
273,4,0.0,0.0,0.0
273,5,0.0,0.0,0.0
273,6,0.0,0.0,0.0
657,1,0.0,0.0,0.0
657,2,0.0,0.0,0.0
657,3,0.0,0.0,0.0
657,4,0.0,0.0,0.0
657,5,0.0,0.0,0.0
657,6,0.0,0.0,0.0
204,1,0.0,0.0,0.0
204,2,0.0,0.0,0.0
204,3,0.0,0.0,0.0
204,4,0.0,0.0,0.0
204,5,0.0,0.0,0.0
204,6,0.0,0.0,0.0
235,1,0.0,0.0,0.0
235,2,0.0,0.0,0.0
235,3,0.0,0.0,0.0
235,4,0.0,0.0,0.0
235,5,0.0,0.0,0.0
235,6,0.0,0.0,0.0
139,1,0.0,0.0,0.0
139,2,0.0,0.0,0.0
139,3,0.0,0.0,0.0
139,4,0.0,0.0,0.0
139,5,0.0,0.0,0.0
139,6,0.0,0.0,0.0
379,1,0.0,0.0,0.0
379,2,0.0,0.0,0.0
379,3,0.0,0.0,0.0
379,4,0.0,0.0,0.0
379,5,0.0,0.0,0.0
379,6,0.0,0.0,0.0
272,1,0.0,0.0,0.0
272,2,0.0,0.0,0.0
272,3,0.0,0.0,0.0
272,4,0.0,0.0,0.0
272,5,0.0,0.0,0.0
272,6,0.0,0.0,0.0
208,1,0.0,0.0,0.0
208,2,0.0,0.0,0.0
208,3,0.0,0.0,0.0
208,4,0.0,0.0,0.0
208,5,0.0,0.0,0.0
208,6,0.0,0.0,0.0
8,1,0.0,0.0,0.0
8,2,0.0,0.0,0.0
8,3,0.0,0.0,0.0
8,4,0.0,0.0,0.0
8,5,0.0,0.0,0.0
8,6,0.0,0.0,0.0
446,1,0.0,0.0,0.0
446,2,0.0,0.0,0.0
446,3,0.0,0.0,0.0
446,4,0.0,0.0,0.0
446,5,0.0,0.0,0.0
446,6,0.0,0.0,0.0
740,1,0.0,0.0,0.0
740,2,0.0,0.0,0.0
740,3,0.0,0.0,0.0
740,4,0.0,0.0,0.0
740,5,0.0,0.0,0.0
740,6,0.0,0.0,0.0
67,1,0.0,0.0,0.0
67,2,0.0,0.0,0.0
67,3,0.0,0.0,0.0
67,4,0.0,0.0,0.0
67,5,0.0,0.0,0.0
67,6,0.0,0.0,0.0
399,1,0.0,0.0,0.0
399,2,0.0,0.0,0.0
399,3,0.0,0.0,0.0
399,4,0.0,0.0,0.0
399,5,0.0,0.0,0.0
399,6,0.0,0.0,0.0
400,1,0.0,0.0,0.0
400,2,0.0,0.0,0.0
400,3,0.0,0.0,0.0
400,4,0.0,0.0,0.0
400,5,0.0,0.0,0.0
400,6,0.0,0.0,0.0
504,1,0.0,0.0,0.0
504,2,0.0,0.0,0.0
504,3,0.0,0.0,0.0
504,4,0.0,0.0,0.0
504,5,0.0,0.0,0.0
504,6,0.0,0.0,0.0
507,1,0.0,0.0,0.0
507,2,0.0,0.0,0.0
507,3,0.0,0.0,0.0
507,4,0.0,0.0,0.0
507,5,0.0,0.0,0.0
507,6,0.0,0.0,0.0
560,1,0.0,0.0,0.0
560,2,0.0,0.0,0.0
560,3,0.0,0.0,0.0
560,4,0.0,0.0,0.0
560,5,0.0,0.0,0.0
560,6,0.0,0.0,0.0
375,1,0.0,0.0,0.0
375,2,0.0,0.0,0.0
375,3,0.0,0.0,0.0
375,4,0.0,0.0,0.0
375,5,0.0,0.0,0.0
375,6,0.0,0.0,0.0
594,1,0.0,0.0,0.0
594,2,0.0,0.0,0.0
594,3,0.0,0.0,0.0
594,4,0.0,0.0,0.0
594,5,0.0,0.0,0.0
594,6,0.0,0.0,0.0
627,1,0.0,0.0,0.0
627,2,0.0,0.0,0.0
627,3,0.0,0.0,0.0
627,4,0.0,0.0,0.0
627,5,0.0,0.0,0.0
627,6,0.0,0.0,0.0
680,1,0.0,0.0,0.0
680,2,0.0,0.0,0.0
680,3,0.0,0.0,0.0
680,4,0.0,0.0,0.0
680,5,0.0,0.0,0.0
680,6,0.0,0.0,0.0
480,1,0.0,0.0,0.0
480,2,0.0,0.0,0.0
480,3,0.0,0.0,0.0
480,4,0.0,0.0,0.0
480,5,0.0,0.0,0.0
480,6,0.0,0.0,0.0
169,1,0.0,0.0,0.0
169,2,0.0,0.0,0.0
169,3,0.0,0.0,0.0
169,4,0.0,0.0,0.0
169,5,0.0,0.0,0.0
169,6,0.0,0.0,0.0
109,1,0.0,0.0,0.0
109,2,0.0,0.0,0.0
109,3,0.0,0.0,0.0
109,4,0.0,0.0,0.0
109,5,0.0,0.0,0.0
109,6,0.0,0.0,0.0
419,1,0.0,0.0,0.0
419,2,0.0,0.0,0.0
419,3,0.0,0.0,0.0
419,4,0.0,0.0,0.0
419,5,0.0,0.0,0.0
419,6,0.0,0.0,0.0
2,1,0.0,0.0,0.0
2,2,0.0,0.0,0.0
2,3,0.0,0.0,0.0
2,4,0.0,0.0,0.0
2,5,0.0,0.0,0.0
2,6,0.0,0.0,0.0
314,1,0.0,0.0,0.0
314,2,0.0,0.0,0.0
314,3,0.0,0.0,0.0
314,4,0.0,0.0,0.0
314,5,0.0,0.0,0.0
314,6,0.0,0.0,0.0
334,1,0.0,0.0,0.0
334,2,0.0,0.0,0.0
334,3,0.0,0.0,0.0
334,4,0.0,0.0,0.0
334,5,0.0,0.0,0.0
334,6,0.0,0.0,0.0
640,1,0.0,0.0,0.0
640,2,0.0,0.0,0.0
640,3,0.0,0.0,0.0
640,4,0.0,0.0,0.0
640,5,0.0,0.0,0.0
640,6,0.0,0.0,0.0
656,1,0.0,0.0,0.0
656,2,0.0,0.0,0.0
656,3,0.0,0.0,0.0
656,4,0.0,0.0,0.0
656,5,0.0,0.0,0.0
656,6,0.0,0.0,0.0
178,1,0.0,0.0,0.0
178,2,0.0,0.0,0.0
178,3,0.0,0.0,0.0
178,4,0.0,0.0,0.0
178,5,0.0,0.0,0.0
178,6,0.0,0.0,0.0
457,1,0.0,0.0,0.0
457,2,0.0,0.0,0.0
457,3,0.0,0.0,0.0
457,4,0.0,0.0,0.0
457,5,0.0,0.0,0.0
457,6,0.0,0.0,0.0
685,1,0.0,0.0,0.0
685,2,0.0,0.0,0.0
685,3,0.0,0.0,0.0
685,4,0.0,0.0,0.0
685,5,0.0,0.0,0.0
685,6,0.0,0.0,0.0
